"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"Salmonella infection",1.54802001708666,0.00161353947685316,0.0162736981522618,"Up",189,"FOS;MYC;RALA;S100A10;ACTB;TUBA4A;ACTG1;MYL12A;TNFSF10;RIPK1;RELA;TUBA1C;RAC1;MAP2K3;ARF6;ARPC2;TXN2;MYD88;VPS18;TUBB2A;BAX;ARPC5L;GAPDH;MYL12B;ARL8A;IL1B;RPS3;CYTH1;RAB7A;ACTR3C;KIF5B;RHOG;MAP2K1;CDC42;CASP4;CASP1;MYL5;RAB5A;IRAK1;ELMO2;NFKB1;HSP90B1;SKP1;KPNA4;MAPK9;ACTR3;ARPC3;DYNLL2;FHOD1;TLR9;RAB5C"
"Other glycan degradation",-1.90565701215552,0.00198451786903278,0.0181100211701047,"Down",15,"GBA2;MAN2C1;MAN2B2;MANBA;ENGASE"
"Spliceosome",1.58032337871728,0.00193125924137723,0.0181100211701047,"Up",136,"EIF4A3;PUF60;SNRPB2;SF3B6;MAGOH;ALYREF;RP9;LSM5;TXNL4A;SNRPB;SNRPD1;PHF5A;SNU13;HNRNPA1;SNRPA1;SRSF6;SRSF3;BUD31;SNRPC;SNRPF;SRSF9;PQBP1;PPIH;THOC7;HNRNPC;RBMX2;SNRPD2;SF3B4;LSM2;LSM3;RBM17;SRSF2;SF3B5;CHERP;SNRPG"
"Human T-cell leukemia virus 1 infection",1.52475234827091,0.0020008238686518,0.0181100211701047,"Up",168,"FOS;MYC;IL2RA;TGFB1;EGR1;STAT5A;HLA-C;B2M;HLA-B;NFATC2;VDAC1;RELA;HLA-E;HLA-A;RANBP1;ZFP36;SLC25A5;CALR;CRTC3;ANAPC13;BAX;JAK3;ITGB2;VDAC2;RANBP3;NFATC3;ELK1;TBPL1;NFYB;ADCY7;PPP3R1;SLC25A6;RAN;MAP2K1;NFKB2;HLA-F;CD3D;ANAPC11;KAT2B;PRKACA;JAK1;NFATC1;ETS1;NFKB1;PIK3R3;CDKN1A;MAP3K3;MAPK9;MAP3K1;RELB"
"Graft-versus-host disease",1.850543857856,0.00185476273998643,0.0181100211701047,"Up",14,"KIR3DL2;HLA-C;HLA-B;HLA-E;HLA-A;IL1B;HLA-F;FAS"
"Necroptosis",1.64921767387979,0.00226322572533241,0.019021873358151,"Up",91,"FTL;STAT5A;SPATA2;TNFSF10;RIPK1;STAT3;VDAC1;CHMP2B;FTH1;SLC25A5;SPATA2L;BAX;IL1B;BID;JAK3;VDAC2;SMPD1;IFNGR2;SLC25A6;PPIA;GLUD1;CASP1;TRAF5;CAPN2;JAK1;CHMP5;IRF9;FAS;CHMP1A;MAPK9;CHMP3;STAT2;IFNGR1;CAMK2D;STAT4;STAT1;HSP90AB1;BCL2;CHMP4B;HSP90AA1;VPS4A;CHMP1B;CFLAR;CHMP6;EIF2AK2"
"Osteoclast differentiation",1.65560501464074,0.00218133535660091,0.019021873358151,"Up",85,"JUNB;FOS;FOSB;NCF1;TGFB1;LCP2;FOSL2;NFATC2;CYBA;RELA;RAC1;SIRPG;SOCS3;IL1B;IFNGR2;PPP3R1;MAP2K1;NFKB2;ATP2A2;JAK1;NFATC1;JUND;IRF9;NFKB1;GRB2;ACP5;PIK3R3;MAPK9;RELB"
"B cell receptor signaling pathway",1.73534858205535,0.00223971542439314,0.019021873358151,"Up",55,"FOS;IFITM1;MALT1;NFATC2;RELA;RAC1;CD81;NFATC3;PPP3R1;BCL10;MAP2K1;NFKBIB;NFATC1;NFKB1;GRB2;PIK3R3;CD79A;PTPN6;RAC2;KRAS;CHUK"
"Cardiac muscle contraction",1.77466640021074,0.00267036235803137,0.0219218119159319,"Up",38,"TPM3;COX7A2L;COX5A;UQCRH;COX4I1;COX6C;COX6A1;COX7A2;COX7B;UQCRB;CYC1;ATP1B3;FXYD2;UQCR11;COX8A;ATP1A1;ATP2A2;TPM4;UQCR10;ASPH;UQCRHL;COX6B1"
"Mineral absorption",1.82166424705544,0.00303447302494619,0.024344749495591,"Up",21,"FTL;SLC39A4;FTH1;ATP1B3;FXYD2;ATP1A1;ATOX1;ATP7A;SLC31A1;MT1X;ATP2B1;MT2A;HMOX2"
"Rap1 signaling pathway",1.58803617427695,0.00323443428500342,0.024820767447961,"Up",103,"SIPA1L1;SIPA1;RALA;SKAP1;CALM1;ACTB;RAP1A;ACTG1;LCP2;RAP1B;PRKCA;FARP2;RAPGEF1;RAC1;GNAS;FLT1;ID1;MAP2K3;PDGFA;RASGRP2;ITGB2;PRKD2;ADCY7;PARD6B;CALM3;LPAR5;ITGB1;MAP2K1;CDC42"
"Lipid and atherosclerosis",1.53819808565021,0.0031938292807858,0.024820767447961,"Up",137,"FOS;ABCA1;NCF1;CALM1;RAP1A;TNFSF10;VLDLR;NFATC2;CYBA;STAT3;RELA;RAP1B;PRKCA;RAC1;MAP2K3;HSPD1;MYD88;CCL5;TRAF3;BAX;IL1B;BID;NFATC3;SOD2;ERO1A;PPP3R1;CALM3;IRF7;CDC42;CASP1;TANK;HSPA4;AGER;IRAK1;NFATC1;FAS;NFKB1;HSP90B1;PIK3R3;MAPK9;CCL3;POU2F1;XBP1"
"PD-L1 expression and PD-1 checkpoint pathway in cancer",1.64866137133764,0.00348499515972894,0.0261745381145599,"Up",72,"FOS;BATF;RASGRP1;CD247;NFATC2;STAT3;RELA;MAP2K3;MYD88;NFATC3;IFNGR2;PPP3R1;MAP2K1;CD3D;NFKBIB;JAK1;NFATC1;NFKB1;EML4;PDCD1;PIK3R3;MAP3K3;TLR9;LAT;PTPN6;CD3E;CSNK2B;KRAS;CHUK;IFNGR1;CSNK2A1;STAT1;NRAS;RPS6KB1"
"Autoimmune thyroid disease",1.80159842687245,0.00389469888207717,0.0286422646952759,"Up",14,"IL4;IL10;HLA-C;HLA-B;HLA-E;HLA-A"
"MAPK signaling pathway",1.49687172241416,0.00430576855019464,0.0310191081269124,"Up",162,"GADD45B;FOS;MYC;TGFB1;FLT3LG;PTPN7;RAP1A;RASGRP1;RELA;RAP1B;PRKCA;RAC1;FLT1;DUSP6;MAP2K3;RRAS2;MYD88;PDGFA;RASGRP2;RPS6KA5;IL1B;MKNK2;DUSP2;RASA2;NFATC3;ELK1;GNA12;PPP3R1;MAP3K8;MAP2K1;CDC42;GADD45A;DUSP1;NFKB2;IRAK1;CDC25B;PRKACA;NFATC1;JUND;FAS;NFKB1;MAP4K2;DUSP5;GRB2;MAP3K3;MAPK9;MAP3K1;RELB;FLNA;STK4;RPS6KA3;RAC2;MAX;MAP3K7;KRAS;CHUK"
"Pertussis",1.70200347500348,0.00477070384679993,0.0330207540768701,"Up",42,"FOS;IL10;IRF1;CALM1;RELA;CFL1;MYD88;IL1B;ITGB2;CALM3;ITGB1;CASP1;IRAK1;NFKB1;IL23A;MAPK9"
"Amoebiasis",1.70194343220815,0.00475339648720628,0.0330207540768701,"Up",41,"IL10;TGFB1;RELA;PRKCA;GNAS;ACTN1;SERPINB9;ACTN4;CTSG;IL1B;ITGB2;RAB7A;PRDX1;RAB5A;PRKACA;NFKB1;PIK3R3;RAB5C"
"Kaposi sarcoma-associated herpesvirus infection",1.51208850066922,0.00501601498761105,0.0340510248197442,"Up",134,"FOS;MYC;CALM1;HLA-C;HLA-B;GNG5;NFATC2;STAT3;RELA;GNG4;HLA-E;HLA-A;UBA52;RAC1;ZFP36;RPS27A;UBC;TRAF3;BAX;BID;NFATC3;CLEC2B;PPP3R1;GNG10;CALM3;GNB1;IRF7;MAP2K1;GNG2;HLA-F;JAK1;NFATC1;IRF9;FAS;NFKB1;PIK3R3;CDKN1A;MAP1LC3B;MAPK9;UBB"
"Proteoglycans in cancer",1.56206230005209,0.00514515575789703,0.0342686789158048,"Up",101,"MYC;PLAU;CD63;ACTB;PXN;TGFB1;CD44;ACTG1;STAT3;PRKCA;RAC1;NUDT16L1;RRAS2;RPS6;PPP1CC;ELK1;ITGB1;MAP2K1;CDC42;PLAUR;MDM2;PRKACA;FAS;GRB2;PIK3R3;CDKN1A;TIAM1;FZD6;FLNA;PTPN6;DDX5;MSN;ROCK1"
"Pathogenic Escherichia coli infection",1.52464040425473,0.00542567135062639,0.0348229452140203,"Up",124,"FOS;ACTB;TUBA4A;MYO1F;ACTG1;TNFSF10;RIPK1;RELA;TUBA1C;RAC1;ARF6;ARPC2;MYD88;TUBB2A;BAX;ARPC5L;GAPDH;IL1B;TMBIM6;GNA12;RPS3;CYTH1;ACTR3C;LPAR5;ITGB1;CDC42;CASP4;CASP1;NFKBIB;IRAK1;FAS;NFKB1;NCL;MAPK9;ACTR3;ARPC3;PTPN6;ROCK1;GNA13;MAP3K7;CHUK;CYFIP2;TUBA1B;ARPC5"
"Influenza A",1.54536293241128,0.00536234579381316,0.0348229452140203,"Up",107,"ACTB;ACTG1;TNFSF10;VDAC1;RELA;PRKCA;NXT1;SLC25A5;MYD88;CCL5;TRAF3;BAX;OAS3;SOCS3;IL1B;BID;IFNGR2;SLC25A6;IRF7;MAP2K1;CASP1;DNAJB1;NFKBIB;OAS2;JAK1;IRF9;FAS;NFKB1;PIK3R3"
"Intestinal immune network for IgA production",1.76445346461255,0.00591417237648756,0.0372804080160734,"Up",14,"IL4;ITGB7;IL10;TGFB1;CCR9;ICOS"
"Rheumatoid arthritis",1.6953730641725,0.00602103981328011,0.0372881939313663,"Up",37,"FOS;TGFB1;LTB;ATP6V0A4;FLT1;ATP6V0C;CCL5;ATP6V1G1;IL1B;ITGB2;ATP6V0D1;ATP6V0E1;ATP6V1F;IL23A;ACP5;CCL3"
"Ras signaling pathway",1.53051747206708,0.00653192013803303,0.0390808103173841,"Up",112,"RALA;CALM1;FLT3LG;RAP1A;RASGRP1;GNG5;RELA;GNG4;RAP1B;PRKCA;RAC1;FLT1;ARF6;RRAS2;PDGFA;RASGRP2;RASA2;ELK1;GNG10;CALM3;GNB1;MAP2K1;CDC42;GNG2;RAB5A;REL;RASSF5;PRKACA;ETS1;NFKB1;GRB2;PIK3R3;MAPK9;RAB5C;LAT;TIAM1;STK4;PLAAT3;RAC2;GNB2;KRAS;CHUK"
"Vitamin digestion and absorption",-1.79208957734816,0.00644002453342679,0.0390808103173841,"Down",10,"CUBN;ABCD4;LMBRD1;SLC19A2;ABCC1;APOA1;BTD;AMN;SLC5A6"
"Systemic lupus erythematosus",1.74602700930317,0.00700758256369713,0.0412279440830848,"Up",15,"IL10;SNRPB;ACTN1;SNRPD1;ACTN4;CTSG;TRIM21"
"Chemokine signaling pathway",1.52436350492872,0.00734382746653446,0.0424978868145355,"Up",106,"CXCR3;CCR7;NCF1;PXN;XCL1;RAP1A;GNG5;STAT3;RELA;GNG4;RAP1B;RAC1;ITK;CCL5;GRK6;RASGRP2;CCR9;JAK3;ADCY7;GNG10;GNB1;MAP2K1;CDC42;GNG2;NFKBIB;PRKACA;NFKB1;GRB2;PIK3R3;CCL3;CCL4;TIAM1;ROCK1;RAC2;GNB2;STAT2;KRAS;GNAI2;CHUK;ARRB1;GRK2;STAT1;PLCB4;NRAS"
"Herpes simplex virus 1 infection",1.49176421247696,0.00747379614157679,0.0425524199673646,"Up",127,"TAP1;TAP2;HLA-C;B2M;HLA-B;RELA;ALYREF;HLA-E;HLA-A;CD74;CALR;MYD88;CCL5;TRAF3;BAX;OAS3;SOCS3;IL1B;BID;SRSF6;SRSF3;PPP1CC;SRSF9;IFNGR2;IRF7;HLA-F;OAS2;SRSF2;IRAK1;TRAF5;JAK1;IRF9;FAS;NFKB1;PIK3R3;EIF2B1;TLR9;SRPK1;TAPBP;POU2F1;TNFRSF14;SRSF5;TNFSF14;PDIA3;STAT2;MAP3K7;CHUK;SRSF7;ZC3HAV1;IFNGR1"
"HIF-1 signaling pathway",1.57854636047788,0.00784123910939013,0.0439358318351542,"Up",72,"LDHA;EPAS1;ELOC;ALDOA;PGK1;STAT3;RELA;PRKCA;FLT1;PFKFB3;RPS6;TIMP1;GAPDH;MKNK2;EGLN2;HK1;ENO1;ELOB;RBX1;LDHB;IFNGR2;MAP2K1;EIF4E2;NFKB1;PIK3R3;CDKN1A;CUL2;PFKP"
"Fatty acid biosynthesis",-1.74310502950818,0.00955702509285261,0.0519278201272998,"Down",16,"ACACB;ACSBG1;CBR4;OXSM;ACSF3;ACSL6;HSD17B8"
"Circadian entrainment",1.64239907479901,0.00956177991012603,0.0519278201272998,"Up",39,"FOS;PER2;CALM1;GNG5;GNG4;PRKCA;GNAS;RPS6KA5;ADCY7;GNG10;CALM3;GNB1;GNG2"
"Toll-like receptor signaling pathway",1.56978229657261,0.0104319958141208,0.0557953715512825,"Up",62,"FOS;RIPK1;RELA;RAC1;MAP2K3;MYD88;CCL5;TRAF3;TOLLIP;IL1B;MAP3K8;IRF7;MAP2K1;IRAK1;JAK1;IRF9;NFKB1;PIK3R3;MAPK9;CCL3;TLR9;CCL4;STAT2;MAP3K7;CHUK;STAT1;LY96;TAB2;MAPK3"
"AMPK signaling pathway",-1.49083268219536,0.011573947698859,0.0595555101650529,"Down",87,"PFKFB2;CFTR;INSR;CREB5;ACACB;SREBF1;SCD;AKT3;PPP2R3B;CREB3;MTOR;PRKAB2;ULK1;PFKM;PPP2R5D;EIF4EBP1;PCK2;PPP2R5B;MLYCD;G6PC3;TSC2;AKT1S1;STRADB;TSC1;PRKAA1;IGF1R;RPTOR;CREB3L4"
"T cell receptor signaling pathway",1.49538897107165,0.0113558583784456,0.0595555101650529,"Up",102,"IL4;FOS;IL10;MALT1;LCP2;RASGRP1;CD247;NFATC2;RELA;ITK;ICOS;NFATC3;PPP3R1;MAP3K8;BCL10;MAP2K1;CDC42;CD3D;NFKBIB;NFATC1;NFKB1;GRB2;PDCD1;PIK3R3;MAPK9;LAT;PPP2R5A;PTPN6;PPP2R5C;CD3E;MAP3K7;KRAS;CHUK"
"Morphine addiction",1.65706152080544,0.0116411620435939,0.0595555101650529,"Up",28,"PDE4B;GNG5;GNG4;PRKCA;GNAS;GRK6;PDE4D;ADCY7;GNG10;GNB1;GNG2;PRKACA;GNB2;GNAI2;ARRB1;GRK2"
"Viral myocarditis",1.63179463296023,0.0122100954979536,0.0615737672968232,"Up",34,"ACTB;HLA-C;ACTG1;SNTA1;HLA-B;HLA-E;HLA-A;RAC1;BID;ITGB2;HLA-F;EIF4G3"
"Cytokine-cytokine receptor interaction",1.53263632793373,0.0125524362697644,0.0624085915947443,"Up",72,"IL4;IL2RA;IL10;CXCR3;CCR7;OSM;IL4R;TGFB1;XCL1;IL10RA;LTB;IL27RA;TNFSF10;IL21R;CCL5;CCR9;IL1B;TNFRSF18;IFNGR2;IL32;RELT;FAS;TNFRSF1B;IL23A;TNFRSF25;CCL3;CCL4;TNFRSF14"
"Taste transduction",-1.72638258161694,0.0131175241229045,0.0643123057692403,"Down",12,"SCN2A;SCN3A;GABBR1;PLCB1;SCN9A"
"Viral carcinogenesis",1.43080242755488,0.0134607295234661,0.065090924955939,"Up",141,"PXN;STAT5A;HLA-C;YWHAB;HLA-B;STAT3;RELA;HLA-E;HLA-A;PKM;RANBP1;YWHAZ;RAC1;ACTN1;ACTN4;TRAF3;BAX;YWHAQ;JAK3;RASA2;TBPL1;DDX3X;ATP6V0D1;IRF7;CDC42;NFKB2;HLA-F;REL;HDAC1;KAT2B;MDM2;TRAF5;PRKACA;RBL1;JAK1;IRF9;NFKB1;HDAC5;GRB2;PIK3R3;CDKN1A"
"Malaria",1.66350152459743,0.0137351884140483,0.0655205609480954,"Up",18,"IL10;TGFB1;GYPC;KLRB1;MYD88;CD81;IL1B;ITGB2;KLRK1;TLR9;HBB"
"Phagocytosis",1.42339060312226,0.0141648985446613,0.0666694558168724,"Up",146,"NCF1;CD63;TAP1;ACTB;TUBA4A;TAP2;HLA-C;RAB27A;ACTG1;HLA-B;RAB27B;CYBA;ATP6V0A4;ATG12;HLA-E;HLA-A;TUBA1C;RAC1;ATP6V0C;CALR;CTSG;MRC2;VPS18;TUBB2A;ATP6V1G1;ITGB2;RAB7A;ATP6V0D1;LAMP1;ITGB1;HLA-F;RAB5A;ATP6V0E1;HVCN1;ATP6V1F;PIK3R3;MAP1LC3B;CCZ1;DYNLL2;RAB5C;ATG16L1;BECN1;CCZ1B;ATG4D;SEC61B;RAC2;VAMP3;CORO1A;CR1;TUBA1B;CTSD"
"Transcriptional misregulation in cancer",1.47411982655804,0.0144688016464498,0.0672037760683789,"Up",101,"MAF;GADD45B;MYC;ID2;ITGB7;PLAU;FOXO1;PER2;TFE3;RARA;RELA;TLX3;FLT1;DUSP6;HHEX;PDGFA;BAX;HPGD;PRCC;GADD45A;REL;HDAC1;MDM2;LYL1;NFKB1;SIN3A;CDKN1A"
"Antigen processing and presentation",1.57090126510141,0.0155215857550815,0.0702451252762021,"Up",42,"LGMN;KIR3DL2;TAP1;TAP2;HLA-C;B2M;HLA-B;HLA-E;HLA-A;CD74;CALR;NFYB;HLA-F;HSPA4;PSME2"
"JAK-STAT signaling pathway",1.49990148371963,0.0154343718979154,0.0702451252762021,"Up",78,"IL4;MYC;IL2RA;IL10;OSM;IL4R;PIM1;IL10RA;STAT5A;IL27RA;IL21R;STAT3;PDGFA;SOCS3;JAK3;IFNGR2;JAK1;IRF9;IL23A;GRB2;PIK3R3;CDKN1A"
"Chagas disease",1.51624566336002,0.0163391261978236,0.0730090069345789,"Up",67,"FOS;IL10;TGFB1;CD247;RELA;GNAS;CALR;MYD88;CCL5;IL1B;IFNGR2;CD3D;IRAK1;FAS;NFKB1;PIK3R3;MAPK9;CCL3;TLR9;CD3E;GNA15;GNAI2;CHUK;IFNGR1"
"Yersinia infection",1.44673162464741,0.0165670578763199,0.0731021428792618,"Up",109,"FOS;IL10;ACTB;PXN;ACTG1;LCP2;NFATC2;RELA;RAC1;MAP2K3;ARF6;ARPC2;MYD88;ARPC5L;IL1B;NFATC3;ACTR3C;RHOG;ITGB1;MAP2K1;CDC42;CASP1;IRAK1;ELMO2;NFATC1;NFKB1;PIK3R3;MAPK9;ACTR3;ARPC3;LAT;ROCK1;RPS6KA3;RAC2;MAP3K7;CHUK"
"Viral protein interaction with cytokine and cytokine receptor",1.6126065460021,0.0170560264626835,0.0741991453427196,"Up",29,"IL2RA;IL10;CXCR3;CCR7;XCL1;IL10RA;TNFSF10;CCL5;CCR9"
"Ferroptosis",1.6003484234689,0.0172360620909434,0.0741991453427196,"Up",31,"FTL;GPX4;GCLM;FTH1;PRNP;VDAC2;SLC3A2;MAP1LC3B;NCOA4;ACSL4;SLC39A8;PCBP1;ACSL5;SAT1;SLC40A1"
"Hepatitis B",1.42475202256553,0.0185219089466618,0.078773901905682,"Up",122,"FOS;MYC;TGFB1;STAT5A;YWHAB;NFATC2;STAT3;RELA;PRKCA;YWHAZ;MAP2K3;MYD88;TRAF3;BAX;BID;YWHAQ;JAK3;NFATC3;ELK1;DDX3X;IRF7;MAP2K1;IRAK1;JAK1;NFATC1;FAS;NFKB1;GRB2;PIK3R3;CDKN1A;MAPK9;MAP3K1;STAT2;MAP3K7;KRAS;CHUK;E2F1;STAT4;ATF4;PCNA;CREB3L3;STAT1;BCL2;NRAS"
"Efferocytosis",1.46232827506638,0.0199242185033154,0.0837291563294089,"Up",86,"ABCA1;IL10;TGFB1;ODC1;NFATC2;RAC1;SLC16A1;BSG;CALR;SIRPG;VPS18;ATP8A1;ADAM9;DUSP2;NFATC3;PTGER2;S1PR1;RAB7A;NR1H2;MAP2K1;CASP1;RAB5A;AGER;ATP2A2;NFATC1;DUSP5;RAB5C;PTPN6;CEBPB;PANX1;CPT1A;CAMK2D;XKR8;CASP7;SCARF1;UQCRFS1;SGK1;MAPK3;EPOR;TGFBRAP1;ARNT"
"Leukocyte transendothelial migration",1.50226433215868,0.0202426501847673,0.0840665354732102,"Up",61,"SIPA1;NCF1;ACTB;PXN;RAP1A;ACTG1;MYL12A;CYBA;RAP1B;PRKCA;RAC1;ACTN1;ACTN4;ITK;MYL12B;ITGB2;ITGB1;CDC42;MYL5;RASSF5;JAM3;PIK3R3;VASP;TXK"
"Apoptosis",1.4192757711137,0.0219011971417082,0.0878536658070794,"Up",108,"CTSW;GADD45B;LMNA;FOS;CTSC;ACTB;TUBA4A;ACTG1;TNFSF10;RIPK1;BBC3;RELA;TUBA1C"
"Focal adhesion",1.43508482133818,0.0218627022299956,0.0878536658070794,"Up",98,"ITGB7;ACTB;PXN;RAP1A;ACTG1;MYL12A;ZYX;RAP1B;PRKCA;RAPGEF1;RAC1;FLT1;ACTN1;ACTN4;PDGFA;COL6A2;MYL12B;PPP1CC;ELK1;EMP1;ITGB1;MAP2K1;CDC42;MYL5;CAPN2;GRB2;PIK3R3;VASP;MAPK9"
"Dilated cardiomyopathy",1.57188881018411,0.0218963094952541,0.0878536658070794,"Up",31,"LMNA;ITGB7;ACTB;TGFB1;TPM3;ACTG1;SNTA1;GNAS;EMD;ADCY7;ITGB1;ATP2A2;TPM4;PRKACA"
"Ether lipid metabolism",-1.5993813533253,0.0263012944092536,0.104318617151309,"Down",19,"PAFAH2;GDPD1;PLA2G6;LPCAT4;TMEM86B;PLPP3;PLA2G12A;PAFAH1B1"
"Cornified envelope formation",1.49021941197485,0.0282631209701667,0.110854241138543,"Up",46,"S100A4;KDSR;S100A10;S100A6;FURIN;KRT10;EPHX2;S100A8;KRT1;DSG2;ELOVL1;KRT73;S100A11;SPTLC1;S100A9"
"Fluid shear stress and atherosclerosis",1.44089761596927,0.028944820909971,0.112280459134283,"Up",72,"FOS;KLF2;NCF1;CALM1;ACTB;ACTG1;CYBA;RELA;GSTO1;RAC1;SUMO2;TXN2;SUMO1;PDGFA;IL1B;CALM3;DUSP1;SUMO3;NFKB1;HSP90B1;PIK3R3;MAPK9"
"Glycerophospholipid metabolism",-1.44551389628842,0.0306352459016393,0.117546106557377,"Down",58,"ADPRM;DGKE;PCYT1B;PLA2G6;PLPP5;LPCAT4;MBOAT2;DGKA;GNPAT;ETNK1;GPAT4;DGKH;PNPLA6;GPD2;PLPP3;PLA2G12A"
"Phototransduction",1.58226489267756,0.0310464207273946,0.117842865771723,"Up",8,"RGS9;CALM1;CALM3;GNB1;PDE6G"
"Phosphatidylinositol signaling system",-1.40152247535514,0.0330946698488465,0.121691858923362,"Down",75,"INPP4B;PIK3C3;DGKE;INPP1;OCRL;PIP4K2A;PIP5K1A;ITPR2;PLCB1;MTMR4;DGKA;DGKH;PLCD1;ITPR1;INPP5B;PI4KB;PIP4P2;IP6K2;PIK3C2B;PIP4K2B;INPP4A;PPIP5K1"
"Type II diabetes mellitus",-1.52990290321689,0.0329381998781802,0.121691858923362,"Down",25,"INSR;HKDC1;PRKCE;PRKCD;MTOR;SOCS2;TNF;IKBKB"
"Vibrio cholerae infection",1.50286283525746,0.03303547251557,0.121691858923362,"Up",36,"ACTB;ACTG1;ATP6V0A4;PRKCA;GNAS;ATP6V0C;SLC12A2;KDELR2;ATP6V1G1;ERO1A;ATP6V0D1;ATP6V0E1;PRKACA;ATP6V1F"
"Insulin resistance",-1.39757169687374,0.0337841421373641,0.122946414169995,"Down",75,"INSR;CREB5;PRKCE;ACACB;SREBF1;AKT3;PRKCD;TBC1D4;CREB3;MLXIP;PPARA;MTOR;OGT;TNF;OGA;PRKAB2;IKBKB;PCK2;G6PC3;PRKAA1;PTPA;MAPK10;GSK3B;PYGB;CREB3L4;SLC2A1;SLC27A5;CREB1;PTEN;GFPT1"
"Glutamatergic synapse",1.4806998167181,0.034554832619762,0.124467917497714,"Up",41,"HOMER3;GNG5;GNG4;PRKCA;GNAS;ADCY7;PPP3R1;GNG10;GNB1;GNG2;LZTS3;PRKACA;SLC38A1;GNB2;GNAI2;GRK2;PLCB4"
"Relaxin signaling pathway",1.42202535368191,0.0369010881923014,0.131576607392752,"Up",67,"FOS;TGFB1;GNG5;RELA;GNG4;PRKCA;GNAS;ADCY7;GNG10;GNB1;MAP2K1;GNG2;PRKACA;NFKB1;GRB2;PIK3R3;MAPK9;GNA15;GNB2;KRAS;GNAI2;ARRB1;ATF4;CREB3L3;PLCB4;NRAS"
"Fc epsilon RI signaling pathway",1.44345288205678,0.0411251795677012,0.145171883873985,"Up",46,"IL4;FCER1G;ALOX5AP;LCP2;PRKCA;RAC1;MAP2K3;MAP2K1;GRB2;PIK3R3;MAPK9;LAT;RAC2;KRAS"
"Tight junction",1.35995599927702,0.0421902772147557,0.147457107493156,"Up",101,"YBX3;NEDD4L;ACTB;TUBA4A;RAP1A;ACTG1;MYL12A;TUBA1C;RAC1;ACTN1;ARPC2;ACTN4;PRKAG2;ARPC5L;MYL12B;PARD6B;ACTR3C;ITGB1;CDC42;RAB8A;HSPA4;JAM3;RAB8B;PRKACA;VASP;MAPK9;ACTR3;ARPC3;MAP3K1;TIAM1;MSN;ROCK1"
"Hippo signaling pathway - multiple species",-1.55346591157757,0.0426095545977011,0.147462478166554,"Down",14,"RASSF6;LIMD1;DCHS1;CSNK1E;MOB1B;SAV1;FRMD6"
"VEGF signaling pathway",1.45640308850981,0.0436384532179557,0.149557028989693,"Up",38,"SH2D2A;PXN;NFATC2;PRKCA;RAC1;PPP3R1;MAP2K1;CDC42;PIK3R3;RAC2;KRAS;MAPKAPK3;NRAS;MAPK3;PIK3R1"
"Integrin signaling",1.41199274535382,0.0455575628181967,0.153423264093583,"Up",56,"ITGB7;ACTB;PXN;TGFB1;ACTG1;RAC1;FLT1;ACTN1;ICAM3;ICAM2;ACTN4;PDGFA;COL6A2;ITGB2;ITGB1;CDC42"
"Bladder cancer",1.48176536417367,0.045635815098658,0.153423264093583,"Up",27,"MYC;RPS6KA5;TYMP;MAP2K1;MDM2;CDKN1A;KRAS;E2F1;RASSF1;CDKN2A;NRAS;MAPK3;MAP2K2;E2F3;CDK4;ARAF"
"Measles",1.34979157846349,0.0473889321901793,0.157814085501257,"Up",100,"FOS;IL2RA;STAT5A;BBC3;STAT3;EIF3H;RELA;MYD88;TRAF3;BAX;OAS3;IL1B;BID;JAK3;IRF7;CD3D;NFKBIB;OAS2;IRAK1;JAK1;IRF9;FAS;NFKB1;PIK3R3;MAPK9;TLR9;MSN;CD3E;CSNK2B;STAT2;MAP3K7;CHUK;MX1;CSNK2A1;STAT1;BCL2"
"Regulation of lipolysis in adipocytes",-1.47562927105742,0.0491979609970537,0.162307291887476,"Down",24,"INSR;TSHR;PRKG2;AKT3"
"Glutathione metabolism",1.4493032425608,0.05385569567914,0.176028338654967,"Up",29,"LAP3;GPX4;ODC1;TXNDC12;SRM;GCLM;GPX7;GSTO1;SMS"
"Non-small cell lung cancer",1.38793881582715,0.0543931680078831,0.176154021163144,"Up",56,"GADD45B;STAT5A;STAT3;PRKCA;BAX;JAK3;KIF5B;MAP2K1;GADD45A;RASSF5;EML4;GRB2;PIK3R3;CDKN1A;STK4;KRAS;E2F1;RASSF1;CDKN2A;NRAS;MAPK3;PIK3R1;DDB2;MAP2K2;E2F3;CDK4;ARAF"
"Hypertrophic cardiomyopathy",1.43734655771199,0.055829396864517,0.17916160993795,"Up",32,"LMNA;ITGB7;ACTB;TGFB1;TPM3;ACTG1;SNTA1;EMD;PRKAG2"
"Type I diabetes mellitus",1.48603794985844,0.0567793869263665,0.180568680946012,"Up",15,"HLA-C;HLA-B;HLA-E;HLA-A;HSPD1;IL1B;HLA-F;FAS"
"Neutrophil extracellular trap formation",1.35889727181848,0.0613023073914744,0.19150189831142,"Up",63,"NCF1;ACTB;ACTG1;CYBA;VDAC1;RELA;PRKCA;RAC1;SLC25A5;CTSG;ITGB2;VDAC2;SLC25A6;MAP2K1;CASP4;CASP1;HDAC1;AGER;NFKB1;HDAC5;PIK3R3;HDAC9;RAC2;MAP3K7;CR1;HDAC2"
